,0
0,creditscore
1,A_II_60d_ratio
2,A_II_90d_ratio
3,A_II_30d_ratio
4,has_easycash
5,A_II_30d
6,A_PI_180d_ratio
7,has_uangme
8,last_14_days_others_to_install_ratio
9,A_PI_360d_ratio
10,A_II_14d_ratio
11,last_7_days_others_install
12,B_II_21d
13,B_II_60d_ratio
14,A_II_7d_ratio
15,famous_app_cnt_ratio
16,last_60_days_others_to_update_ratio
17,AB_II_360d_ratio
18,last_30_days_others_to_install_ratio
19,has_adakami
20,last_14_days_others_up_to_not_increase
21,B_II_90d_ratio
22,last_30_days_cash_app_cnt_install_to_install_ratio
23,company_job
24,has_uku
25,A_II_21d_ratio
26,B_II_180d_ratio
27,last_30_days_communication_to_install_ratio
28,idinquiries21d_to30d_increase
29,AB_PI_360d_ratio
30,A_II_21d
31,A_II21d_to30d_increase
32,last_60_days_social_to_install_ratio
33,A_II_180d_ratio
34,last_3_days_others_to_notupdate_ratio
35,A_II_360d_ratio
36,last_30_days_tool_to_install_ratio
37,A_PI_90d_ratio
38,last_14_days_others_to_notupdate_ratio
39,phoneinquiries_7d
40,last_30_days_communication_to_notupdate_ratio
41,last_60_days_others_install
42,last_60_days_app_cnt_install
43,famous_app_cnt
44,A_II_3d_ratio
45,education_level
46,last_14_days_communication_to_install_ratio
47,B_II_360d_ratio
48,last_30_days_un_gp_cash_app_cnt_update_to_update_ratio
49,phoneinquiries21d_to30d_increase
50,last_60_days_others_to_install_ratio
51,whatsapp_ins_upd_diff_days
52,whatsapp_install_to_now_days
53,phone_multi_14d_diff
54,bayes_prob
55,last_60_days_others_update
56,last_30_days_others_to_notupdate_ratio
57,A_PI_21d_ratio
58,last_7_days_others_up_to_not_increase
59,A_PI_14d_ratio
60,A_II30d_to60d_increase
61,A_II_60d
62,B_II_30d_ratio
63,phone_multi_7d_diff
64,A_II21d_to30d_diff
65,B_II_21d_ratio
66,last_7_days_others_to_install_ratio
67,last_30_days_un_gp_cash_app_cnt_install_to_install_ratio
68,last_7_days_others_to_notupdate_ratio
69,last_60_days_communication_to_install_ratio
70,has_kta kilat
71,last_30_days_review_middle_app_install_to_install_ratio
72,has_kredit pintar
73,idinquiries_total
74,last_60_days_cash_app_cnt_up_to_install_ratio
75,phoneinquiries_14d
76,A_PI_30d
77,B_PI_360d
78,last_60_days_review_popular_app_update_to_update_ratio
79,B_II_360d
80,topup_0_60_avg
